"CMS Certification Number (CCN)","State","Percent of residents who are up-to-date on their vaccines","Percent of staff who are up-to-date on their vaccines","Date vaccination data last updated"
"395719","PA","0.0","0.0","10/27/2024"
"395720","PA","0.0","2.7","10/27/2024"
"395721","PA","0.0","0.0","10/27/2024"
"395722","PA","49.2","46.1","10/27/2024"
"395726","PA","1.0","0.0","10/27/2024"
"395728","PA","60.0","1.9","10/27/2024"
"395729","PA","0.0","0.0","10/27/2024"
"395730","PA","Not Available","Not Available","10/27/2024"
"395731","PA","1.4","0.0","10/27/2024"
"395732","PA","51.7","2.1","10/27/2024"
"395733","PA","53.6","3.8","10/27/2024"
"395735","PA","0.9","0.0","10/27/2024"
"395736","PA","0.0","0.0","10/27/2024"
"395738","PA","Not Available","Not Available","10/27/2024"
"395740","PA","0.0","41.0","10/27/2024"
"395742","PA","0.0","0.0","10/27/2024"
"395743","PA","0.0","2.4","10/27/2024"
"395745","PA","0.0","0.0","10/27/2024"
"395746","PA","1.5","4.5","10/27/2024"
"395749","PA","33.3","28.0","10/27/2024"
"395751","PA","80.2","93.1","10/27/2024"
"395752","PA","1.8","0.4","10/27/2024"
"395753","PA","84.8","28.7","10/27/2024"
"395756","PA","44.4","0.0","10/27/2024"
"395757","PA","0.0","20.0","10/27/2024"
"395758","PA","0.0","0.0","10/27/2024"
"395760","PA","0.0","0.0","10/27/2024"
"395762","PA","1.5","1.4","10/27/2024"
"395763","PA","0.0","0.5","10/27/2024"
"395764","PA","85.4","97.2","10/27/2024"
"395767","PA","33.3","0.0","10/27/2024"
"395768","PA","71.7","3.9","10/27/2024"
"395770","PA","0.0","0.0","10/27/2024"
"395771","PA","0.0","0.0","10/27/2024"
"395773","PA","2.1","6.4","10/27/2024"
"395774","PA","0.0","0.0","10/27/2024"
"395775","PA","0.9","1.1","10/27/2024"
"395777","PA","0.0","0.0","10/27/2024"
"395778","PA","1.3","0.0","10/27/2024"
"395779","PA","0.9","0.0","10/27/2024"
"395780","PA","39.7","0.3","10/27/2024"
"395782","PA","0.0","0.0","10/27/2024"
"395783","PA","10.8","2.3","10/27/2024"
"395784","PA","63.3","0.9","10/27/2024"
"395785","PA","0.0","3.5","10/27/2024"
"395786","PA","1.1","0.0","10/27/2024"
"395787","PA","12.2","0.4","10/27/2024"
"395788","PA","0.0","0.0","10/27/2024"
"395790","PA","57.3","6.3","10/27/2024"
"395791","PA","3.5","0.0","10/27/2024"
"395793","PA","93.2","23.8","10/27/2024"
"395794","PA","72.0","39.4","10/27/2024"
"395795","PA","4.3","0.0","10/27/2024"
"395796","PA","8.0","7.3","10/27/2024"
"395797","PA","77.8","1.5","10/27/2024"
"395798","PA","50.0","5.7","10/27/2024"
"395800","PA","58.0","43.3","10/27/2024"
"395801","PA","61.5","91.1","10/27/2024"
"395802","PA","33.7","0.0","10/27/2024"
"395804","PA","0.0","1.0","10/27/2024"
"395805","PA","27.8","0.6","10/27/2024"
"395806","PA","31.6","13.6","10/27/2024"
"395812","PA","21.1","0.7","10/27/2024"
"395815","PA","0.8","0.0","10/27/2024"
"395816","PA","73.7","3.7","10/27/2024"
"395817","PA","9.3","1.9","10/27/2024"
"395818","PA","0.0","0.0","10/27/2024"
"395819","PA","1.3","0.0","10/27/2024"
"395821","PA","51.1","13.3","10/27/2024"
"395823","PA","0.0","0.0","10/27/2024"
"395824","PA","56.8","4.0","10/27/2024"
"395825","PA","Not Available","Not Available","10/27/2024"
"395826","PA","1.5","0.0","10/27/2024"
"395827","PA","Not Available","Not Available","10/27/2024"
"395828","PA","0.0","1.4","10/27/2024"
"395830","PA","0.0","0.0","10/27/2024"
"395831","PA","Not Available","Not Available","10/27/2024"
"395832","PA","0.0","0.0","10/27/2024"
"395833","PA","65.1","0.7","10/27/2024"
"395834","PA","0.0","6.3","10/27/2024"
"395838","PA","79.5","7.2","10/27/2024"
"395840","PA","27.2","0.0","10/27/2024"
"395843","PA","6.7","3.1","10/27/2024"
"395844","PA","0.0","0.0","10/27/2024"
"395845","PA","4.4","2.6","10/27/2024"
"395846","PA","Not Available","Not Available","10/27/2024"
"395847","PA","54.2","3.5","10/27/2024"
"395848","PA","0.0","0.5","10/27/2024"
"395851","PA","43.7","11.1","10/27/2024"
"395852","PA","30.4","37.5","10/27/2024"
"395853","PA","0.0","0.0","10/27/2024"
"395857","PA","Not Available","Not Available","10/27/2024"
"395860","PA","0.0","0.0","10/27/2024"
"395861","PA","0.0","0.0","10/27/2024"
"395864","PA","0.0","2.6","10/27/2024"
"395865","PA","Not Available","Not Available","10/27/2024"
"395867","PA","40.0","0.0","10/27/2024"
"395868","PA","21.9","1.4","10/27/2024"
"395870","PA","0.0","0.0","10/27/2024"
"395872","PA","0.0","0.5","10/27/2024"
"395873","PA","0.0","0.0","10/27/2024"
"395875","PA","40.2","0.0","10/27/2024"
"395876","PA","56.7","1.7","10/27/2024"
"395877","PA","0.0","0.0","10/27/2024"
"395878","PA","0.0","0.0","10/27/2024"
"395879","PA","11.4","5.3","10/27/2024"
"395880","PA","67.4","0.3","10/27/2024"
"395881","PA","Not Available","Not Available","10/27/2024"
"395882","PA","1.8","0.0","10/27/2024"
"395883","PA","0.0","0.0","10/27/2024"
"395890","PA","0.0","0.0","10/27/2024"
"395891","PA","60.7","0.4","10/27/2024"
"395892","PA","0.0","0.0","10/27/2024"
"395893","PA","67.6","90.7","10/27/2024"
"395894","PA","0.0","0.0","10/27/2024"
"395895","PA","39.2","1.3","10/27/2024"
"395896","PA","0.8","0.0","10/27/2024"
"395898","PA","46.5","0.5","10/27/2024"
"395899","PA","0.0","0.4","10/27/2024"
"395901","PA","0.0","2.1","10/27/2024"
"395902","PA","Not Available","Not Available","10/27/2024"
"395903","PA","Not Available","Not Available","10/27/2024"
"395904","PA","2.5","8.9","10/27/2024"
"395905","PA","Not Available","Not Available","10/27/2024"
"395906","PA","0.0","0.0","10/27/2024"
"395907","PA","60.3","4.2","10/27/2024"
"395908","PA","1.9","1.4","10/27/2024"
"395909","PA","70.9","0.0","10/27/2024"
"395912","PA","9.5","0.0","10/27/2024"
"395913","PA","0.0","3.5","10/27/2024"
"395915","PA","0.0","0.0","10/27/2024"
"395916","PA","46.7","19.0","10/27/2024"
"395917","PA","59.1","27.9","10/27/2024"
"395918","PA","12.9","0.0","10/27/2024"
"395922","PA","55.0","22.5","10/27/2024"
"395923","PA","0.0","0.0","10/27/2024"
"395926","PA","33.3","0.0","10/27/2024"
"395927","PA","Not Available","Not Available","10/27/2024"
"395929","PA","Not Available","Not Available","10/27/2024"
"395936","PA","1.1","0.0","10/27/2024"
"395938","PA","47.9","0.0","10/27/2024"
"395939","PA","9.5","0.0","10/27/2024"
"395941","PA","22.7","2.2","10/27/2024"
"395944","PA","0.0","0.0","10/27/2024"
"395948","PA","54.5","67.9","10/27/2024"
"395950","PA","0.0","0.0","10/27/2024"
"395951","PA","9.1","0.0","10/27/2024"
"395952","PA","10.8","2.1","10/27/2024"
"395953","PA","0.0","0.0","10/27/2024"
"395956","PA","0.8","12.9","10/27/2024"
"395959","PA","64.5","0.0","10/27/2024"
"395961","PA","42.1","0.7","10/27/2024"
"395964","PA","2.7","0.0","10/27/2024"
"395966","PA","55.6","0.0","10/27/2024"
"395974","PA","Not Available","1.1","10/27/2024"
"395977","PA","1.7","2.1","10/27/2024"
"395983","PA","72.3","0.0","10/27/2024"
"395984","PA","Not Available","Not Available","10/27/2024"
"395985","PA","44.2","16.3","10/27/2024"
"395986","PA","43.6","0.0","10/27/2024"
"395989","PA","1.3","0.0","10/27/2024"
"395996","PA","0.0","0.0","10/27/2024"
"395998","PA","68.0","12.8","10/27/2024"
"396002","PA","5.6","2.0","10/27/2024"
"396003","PA","Not Available","Not Available","10/27/2024"
"396009","PA","0.0","14.1","10/27/2024"
"396015","PA","0.0","2.5","10/27/2024"
"396017","PA","1.5","29.4","10/27/2024"
"396021","PA","Not Available","Not Available","10/27/2024"
"396024","PA","Not Available","Not Available","10/27/2024"
"396026","PA","3.1","0.0","10/27/2024"
"396035","PA","0.0","0.0","10/27/2024"
"396048","PA","76.8","0.0","10/27/2024"
"396049","PA","0.0","0.0","10/27/2024"
"396053","PA","0.0","5.3","10/27/2024"
"396054","PA","0.0","1.1","10/27/2024"
"396056","PA","0.0","1.4","10/27/2024"
"396058","PA","0.0","0.0","10/27/2024"
"396059","PA","39.1","0.0","10/27/2024"
"396062","PA","53.8","0.0","10/27/2024"
"396063","PA","0.0","0.0","10/27/2024"
"396064","PA","68.3","2.1","10/27/2024"
"396066","PA","12.1","1.2","10/27/2024"
"396067","PA","2.6","0.0","10/27/2024"
"396069","PA","42.9","0.0","10/27/2024"
"396070","PA","6.4","0.0","10/27/2024"
"396071","PA","Not Available","Not Available","10/27/2024"
"396072","PA","24.3","0.0","10/27/2024"
"396073","PA","74.6","74.5","10/27/2024"
"396074","PA","62.0","0.0","10/27/2024"
"396075","PA","53.3","33.3","10/27/2024"
"396076","PA","93.7","100.0","10/27/2024"
"396077","PA","0.0","0.0","10/27/2024"
"396078","PA","Not Available","Not Available","10/27/2024"
"396079","PA","72.1","2.4","10/27/2024"
"396081","PA","1.3","6.2","10/27/2024"
"396082","PA","0.0","0.0","10/27/2024"
"396083","PA","0.0","0.4","10/27/2024"
"396085","PA","17.7","3.9","10/27/2024"
"396086","PA","0.0","0.0","10/27/2024"
"396088","PA","0.0","0.0","10/27/2024"
"396089","PA","8.5","0.0","10/27/2024"
"396090","PA","0.0","0.0","10/27/2024"
"396092","PA","64.7","3.7","10/27/2024"
"396093","PA","0.0","0.0","10/27/2024"
"396095","PA","0.0","7.5","10/27/2024"
"396096","PA","26.8","0.0","10/27/2024"
"396098","PA","4.0","10.1","10/27/2024"
"396101","PA","Not Available","Not Available","10/27/2024"
"396102","PA","3.7","0.0","10/27/2024"
"396105","PA","36.4","5.6","10/27/2024"
"396106","PA","0.0","2.9","10/27/2024"
"396107","PA","1.6","1.2","10/27/2024"
"396108","PA","66.1","8.0","10/27/2024"
"396109","PA","2.2","2.5","10/27/2024"
"396111","PA","0.0","1.0","10/27/2024"
"396113","PA","73.2","4.3","10/27/2024"
"396114","PA","30.8","1.8","10/27/2024"
"396115","PA","57.7","0.9","10/27/2024"
"396116","PA","85.0","1.6","10/27/2024"
"396119","PA","50.0","1.2","10/27/2024"
"396120","PA","32.6","2.8","10/27/2024"
"396122","PA","0.0","0.8","10/27/2024"
"396123","PA","0.0","0.0","10/27/2024"
"396124","PA","0.0","2.9","10/27/2024"
"396125","PA","38.1","2.5","10/27/2024"
"396128","PA","45.5","0.0","10/27/2024"
"396129","PA","16.4","0.0","10/27/2024"
"396130","PA","45.3","0.0","10/27/2024"
"396132","PA","0.0","0.0","10/27/2024"
"396133","PA","100.0","100.0","10/27/2024"
"396135","PA","7.5","0.3","10/27/2024"
"396137","PA","45.6","2.2","10/27/2024"
"396138","PA","13.2","0.0","10/27/2024"
"396140","PA","0.0","1.3","10/27/2024"
"396141","PA","0.0","3.0","10/27/2024"
"396143","PA","0.0","10.0","10/27/2024"
"396144","PA","0.0","4.9","10/27/2024"
"396145","PA","10.2","4.9","10/27/2024"
"396146","PA","0.0","1.1","10/27/2024"
"396148","PA","10.9","7.1","10/27/2024"
"396149","PA","48.0","0.0","10/27/2024"
"396150","PA","5.7","0.0","10/27/2024"
"39A433","PA","0.0","1.7","10/27/2024"
"39A434","PA","0.0","0.6","10/27/2024"
"39A435","PA","49.0","0.2","10/27/2024"
"39A436","PA","62.4","3.9","10/27/2024"
"39A437","PA","45.0","1.1","10/27/2024"
"39A438","PA","63.4","5.9","10/27/2024"
"405000","PR","0.0","2.4","10/27/2024"
"405018","PR","2.4","0.0","10/27/2024"
"405023","PR","11.5","0.0","10/27/2024"
"405025","PR","Not Available","Not Available","10/27/2024"
"405029","PR","100.0","97.8","10/27/2024"
"405030","PR","Not Available","Not Available","10/27/2024"
"415002","RI","7.5","8.9","10/27/2024"
"415004","RI","70.6","15.9","10/27/2024"
"415008","RI","13.6","4.7","10/27/2024"
"415009","RI","30.0","11.1","10/27/2024"
"415010","RI","3.9","4.7","10/27/2024"
"415012","RI","65.9","3.2","10/27/2024"
"415014","RI","92.9","15.0","10/27/2024"
"415020","RI","0.0","13.0","10/27/2024"
"415023","RI","82.1","5.5","10/27/2024"
"415027","RI","22.2","0.0","10/27/2024"
"415028","RI","0.0","100.0","10/27/2024"
"415029","RI","67.4","5.5","10/27/2024"
"415031","RI","0.0","0.0","10/27/2024"
"415032","RI","0.0","2.5","10/27/2024"
"415033","RI","0.0","0.0","10/27/2024"
"415034","RI","0.8","1.8","10/27/2024"
"415035","RI","34.6","0.4","10/27/2024"
"415038","RI","26.4","0.0","10/27/2024"
"415039","RI","43.8","43.3","10/27/2024"
"415040","RI","4.5","4.3","10/27/2024"
"415041","RI","57.5","16.9","10/27/2024"
"415042","RI","0.0","0.0","10/27/2024"
"415044","RI","3.7","2.2","10/27/2024"
"415045","RI","43.3","13.4","10/27/2024"
"415049","RI","0.0","0.0","10/27/2024"
"415050","RI","54.2","0.0","10/27/2024"
"415051","RI","0.0","3.5","10/27/2024"
"415053","RI","49.7","2.6","10/27/2024"
"415054","RI","68.0","17.7","10/27/2024"
"415056","RI","62.1","9.4","10/27/2024"
"415057","RI","31.8","3.6","10/27/2024"
"415059","RI","0.0","1.0","10/27/2024"
"415060","RI","54.8","0.0","10/27/2024"
"415061","RI","90.8","0.0","10/27/2024"
"415062","RI","7.7","1.7","10/27/2024"
"415063","RI","31.8","11.2","10/27/2024"
"415064","RI","17.9","0.0","10/27/2024"
"415066","RI","0.0","0.0","10/27/2024"
"415067","RI","4.5","1.0","10/27/2024"
"415068","RI","5.4","0.0","10/27/2024"
"415070","RI","23.4","3.2","10/27/2024"
"415071","RI","0.0","0.9","10/27/2024"
"415072","RI","0.0","0.0","10/27/2024"
"415073","RI","0.0","32.9","10/27/2024"
"415074","RI","12.6","6.4","10/27/2024"
"415075","RI","73.6","25.1","10/27/2024"
"415076","RI","59.6","6.5","10/27/2024"
"415078","RI","1.1","0.0","10/27/2024"
"415079","RI","0.0","0.6","10/27/2024"
"415080","RI","16.2","0.0","10/27/2024"
"415081","RI","19.1","0.0","10/27/2024"
"415082","RI","26.6","8.2","10/27/2024"
"415083","RI","67.6","27.0","10/27/2024"
"415084","RI","45.6","12.2","10/27/2024"
"415085","RI","1.4","8.1","10/27/2024"
"415087","RI","1.3","0.0","10/27/2024"
"415089","RI","10.3","3.9","10/27/2024"
"415091","RI","2.6","5.9","10/27/2024"
"415096","RI","17.9","15.6","10/27/2024"
"415097","RI","22.6","6.3","10/27/2024"
"415098","RI","0.0","7.9","10/27/2024"
"415099","RI","70.8","0.0","10/27/2024"
"415104","RI","0.0","4.2","10/27/2024"
"415106","RI","38.0","0.7","10/27/2024"
"415107","RI","0.0","0.0","10/27/2024"
"415108","RI","27.6","2.0","10/27/2024"
"415110","RI","35.3","0.0","10/27/2024"
"415111","RI","0.0","0.0","10/27/2024"
"415113","RI","77.6","19.3","10/27/2024"
"415119","RI","2.0","0.9","10/27/2024"
"415120","RI","3.8","3.8","10/27/2024"
"415123","RI","36.2","0.0","10/27/2024"
"415129","RI","0.8","0.0","10/27/2024"
"425003","SC","55.8","0.3","10/27/2024"
"425004","SC","0.0","0.0","10/27/2024"
"425005","SC","0.9","2.0","10/27/2024"
"425008","SC","0.0","0.8","10/27/2024"
"425009","SC","50.5","20.0","10/27/2024"
"425012","SC","58.3","1.4","10/27/2024"
"425013","SC","Not Available","0.0","10/27/2024"
"425014","SC","60.0","0.0","10/27/2024"
"425016","SC","0.0","0.0","10/27/2024"
"425017","SC","18.5","0.0","10/27/2024"
"425018","SC","0.0","0.0","10/27/2024"
"425024","SC","56.7","0.0","10/27/2024"
"425027","SC","0.0","0.0","10/27/2024"
"425032","SC","Not Available","Not Available","10/27/2024"
"425035","SC","0.0","0.0","10/27/2024"
"425042","SC","0.0","0.0","10/27/2024"
"425047","SC","77.9","2.5","10/27/2024"
"425048","SC","67.6","46.6","10/27/2024"
"425052","SC","44.9","2.6","10/27/2024"
"425053","SC","Not Available","0.0","10/27/2024"
"425054","SC","14.9","0.5","10/27/2024"
"425055","SC","1.9","2.4","10/27/2024"
"425057","SC","0.0","3.0","10/27/2024"
"425061","SC","1.7","0.0","10/27/2024"
"425062","SC","0.0","2.8","10/27/2024"
"425063","SC","69.1","1.1","10/27/2024"
"425064","SC","62.5","0.0","10/27/2024"
"425067","SC","45.8","0.7","10/27/2024"
"425068","SC","66.7","0.7","10/27/2024"
"425070","SC","Not Available","Not Available","10/27/2024"
"425071","SC","1.5","0.0","10/27/2024"
"425074","SC","37.5","5.0","10/27/2024"
"425075","SC","0.0","0.0","10/27/2024"
"425077","SC","34.8","0.0","10/27/2024"
"425078","SC","20.5","0.6","10/27/2024"
"425080","SC","0.0","1.0","10/27/2024"
"425081","SC","0.0","0.4","10/27/2024"
"425082","SC","0.0","5.4","10/27/2024"
"425084","SC","3.2","0.0","10/27/2024"
"425085","SC","Not Available","0.0","10/27/2024"
"425086","SC","0.0","1.8","10/27/2024"
"425088","SC","66.7","1.4","10/27/2024"
"425089","SC","18.8","0.0","10/27/2024"
"425090","SC","0.0","0.0","10/27/2024"
"425091","SC","1.1","1.0","10/27/2024"
"425093","SC","0.0","0.0","10/27/2024"
"425095","SC","2.2","0.0","10/27/2024"
"425096","SC","Not Available","Not Available","10/27/2024"
"425097","SC","Not Available","1.5","10/27/2024"
"425100","SC","46.8","Not Available","10/27/2024"
"425102","SC","0.0","0.0","10/27/2024"
"425103","SC","0.0","3.5","10/27/2024"
"425104","SC","Not Available","0.0","10/27/2024"
"425105","SC","13.8","0.0","10/27/2024"
"425106","SC","0.0","0.0","10/27/2024"
"425107","SC","31.6","90.7","10/27/2024"
"425109","SC","0.0","0.0","10/27/2024"
"425110","SC","38.5","3.2","10/27/2024"
"425111","SC","0.8","0.0","10/27/2024"
"425112","SC","0.0","0.0","10/27/2024"
"425113","SC","Not Available","0.0","10/27/2024"
"425114","SC","0.0","0.0","10/27/2024"
"425115","SC","68.2","0.0","10/27/2024"
"425116","SC","0.0","0.0","10/27/2024"
"425117","SC","1.1","0.0","10/27/2024"
"425118","SC","78.1","0.0","10/27/2024"
"425119","SC","Not Available","Not Available","10/27/2024"
"425121","SC","38.6","0.0","10/27/2024"
"425122","SC","5.3","0.0","10/27/2024"
"425127","SC","Not Available","0.0","10/27/2024"
"425128","SC","23.0","0.4","10/27/2024"
"425129","SC","0.0","2.9","10/27/2024"
"425131","SC","0.0","0.0","10/27/2024"
"425132","SC","1.2","6.5","10/27/2024"
"425138","SC","0.0","0.0","10/27/2024"
"425139","SC","0.0","0.0","10/27/2024"
"425140","SC","Not Available","0.0","10/27/2024"
"425142","SC","0.0","0.0","10/27/2024"
"425143","SC","43.0","0.0","10/27/2024"
"425145","SC","Not Available","0.0","10/27/2024"
"425146","SC","0.0","0.0","10/27/2024"
"425147","SC","0.0","0.0","10/27/2024"
"425149","SC","0.0","0.0","10/27/2024"
"425150","SC","57.7","4.9","10/27/2024"
"425154","SC","56.0","0.0","10/27/2024"
"425155","SC","0.0","0.0","10/27/2024"
"425156","SC","0.0","0.0","10/27/2024"
"425157","SC","0.0","0.0","10/27/2024"
"425158","SC","37.0","0.0","10/27/2024"
"425159","SC","3.3","0.0","10/27/2024"
"425160","SC","40.6","0.0","10/27/2024"
"425163","SC","Not Available","Not Available","10/27/2024"
"425165","SC","9.8","20.3","10/27/2024"
"425168","SC","0.0","0.0","10/27/2024"
"425169","SC","15.7","0.6","10/27/2024"
"425170","SC","Not Available","Not Available","10/27/2024"
"425171","SC","0.0","0.7","10/27/2024"
"425172","SC","25.9","33.9","10/27/2024"
"425173","SC","Not Available","0.0","10/27/2024"
"425174","SC","0.9","0.0","10/27/2024"
"425175","SC","0.0","0.0","10/27/2024"
"425176","SC","2.6","0.0","10/27/2024"
"425179","SC","51.9","1.6","10/27/2024"
"425287","SC","Not Available","0.0","10/27/2024"
"425288","SC","Not Available","0.0","10/27/2024"
"425289","SC","2.7","0.0","10/27/2024"
"425290","SC","Not Available","Not Available","10/27/2024"
"425291","SC","37.5","1.6","10/27/2024"
"425293","SC","0.0","0.0","10/27/2024"
"425294","SC","0.0","0.0","10/27/2024"
"425295","SC","9.7","2.4","10/27/2024"
"425296","SC","Not Available","0.0","10/27/2024"
"425297","SC","0.0","0.0","10/27/2024"
"425298","SC","0.0","0.0","10/27/2024"
"425300","SC","58.9","1.6","10/27/2024"
"425301","SC","0.0","0.0","10/27/2024"
"425302","SC","0.0","0.0","10/27/2024"
"425303","SC","0.0","0.0","10/27/2024"
"425305","SC","0.0","0.0","10/27/2024"
"425306","SC","Not Available","1.8","10/27/2024"
"425307","SC","0.0","0.0","10/27/2024"
"425308","SC","16.2","0.0","10/27/2024"
"425309","SC","73.8","0.0","10/27/2024"
"425310","SC","0.0","0.0","10/27/2024"
"425311","SC","0.0","0.0","10/27/2024"
"425312","SC","63.8","2.0","10/27/2024"
"425314","SC","7.5","0.0","10/27/2024"
"425315","SC","Not Available","0.0","10/27/2024"
"425316","SC","45.0","0.0","10/27/2024"
"425317","SC","0.0","0.0","10/27/2024"
"425319","SC","41.0","0.0","10/27/2024"
"425320","SC","48.1","0.0","10/27/2024"
"425321","SC","40.5","1.0","10/27/2024"
"425322","SC","23.0","3.1","10/27/2024"
"425323","SC","2.4","0.0","10/27/2024"
"425324","SC","31.9","6.3","10/27/2024"
"425325","SC","58.8","22.1","10/27/2024"
"425326","SC","65.9","11.0","10/27/2024"
"425332","SC","0.0","0.0","10/27/2024"
"425333","SC","0.0","0.0","10/27/2024"
"425334","SC","55.6","5.9","10/27/2024"
"425337","SC","34.4","1.5","10/27/2024"
"425341","SC","0.0","0.0","10/27/2024"
"425351","SC","44.0","18.3","10/27/2024"
"425352","SC","0.0","0.0","10/27/2024"
"425359","SC","0.0","0.0","10/27/2024"
"425360","SC","6.3","2.1","10/27/2024"
"425361","SC","60.9","0.0","10/27/2024"
"425362","SC","3.6","0.0","10/27/2024"
"425368","SC","79.8","4.0","10/27/2024"
"425370","SC","0.0","0.0","10/27/2024"
"425372","SC","0.0","0.0","10/27/2024"
"425373","SC","52.0","0.0","10/27/2024"
"425374","SC","54.8","0.0","10/27/2024"
"425375","SC","71.4","0.0","10/27/2024"
"425376","SC","9.3","0.0","10/27/2024"
"425379","SC","1.1","0.0","10/27/2024"
"425380","SC","0.0","0.0","10/27/2024"
"425381","SC","Not Available","Not Available","10/27/2024"
"425384","SC","3.7","0.9","10/27/2024"
"425385","SC","91.7","76.9","10/27/2024"
"425386","SC","1.6","0.3","10/27/2024"
"425387","SC","5.0","1.1","10/27/2024"
"425388","SC","0.0","0.0","10/27/2024"
"425389","SC","3.8","0.0","10/27/2024"
"425390","SC","0.0","0.0","10/27/2024"
"425391","SC","0.0","0.0","10/27/2024"
"425392","SC","26.1","0.0","10/27/2024"
"425393","SC","62.5","0.0","10/27/2024"
"425394","SC","0.0","0.0","10/27/2024"
"425395","SC","Not Available","Not Available","10/27/2024"
"425396","SC","0.0","0.0","10/27/2024"
"425397","SC","6.4","0.0","10/27/2024"
"425400","SC","Not Available","0.0","10/27/2024"
"425401","SC","14.8","2.7","10/27/2024"
"425403","SC","0.0","0.6","10/27/2024"
"425406","SC","2.1","0.0","10/27/2024"
"425407","SC","25.5","0.0","10/27/2024"
"425408","SC","48.5","1.0","10/27/2024"
"425410","SC","Not Available","Not Available","10/27/2024"
"425411","SC","61.7","6.5","10/27/2024"
"425412","SC","1.8","0.0","10/27/2024"
"425413","SC","0.0","0.8","10/27/2024"
"425414","SC","23.1","7.3","10/27/2024"
"425415","SC","Not Available","Not Available","10/27/2024"
"425416","SC","33.3","Not Available","10/27/2024"
"425418","SC","34.6","1.7","10/27/2024"
"425419","SC","0.0","5.7","10/27/2024"
"435004","SD","1.5","0.0","10/27/2024"
"435009","SD","65.9","76.7","10/27/2024"
"435020","SD","65.8","18.3","10/27/2024"
"435029","SD","37.0","0.0","10/27/2024"
"435033","SD","56.1","2.0","10/27/2024"
"435034","SD","0.0","0.9","10/27/2024"
"435035","SD","63.3","0.0","10/27/2024"
"435036","SD","57.0","7.0","10/27/2024"
"435037","SD","69.4","26.7","10/27/2024"
"435038","SD","76.2","60.3","10/27/2024"
"435039","SD","1.1","0.9","10/27/2024"
"435040","SD","3.6","0.9","10/27/2024"
"435041","SD","57.1","6.1","10/27/2024"
"435042","SD","77.9","1.4","10/27/2024"
"435043","SD","53.2","1.1","10/27/2024"
"435044","SD","71.3","0.0","10/27/2024"
"435045","SD","56.6","4.1","10/27/2024"
"435046","SD","41.3","76.0","10/27/2024"
"435047","SD","66.0","0.0","10/27/2024"
"435048","SD","0.0","0.0","10/27/2024"
"435051","SD","70.0","8.0","10/27/2024"
"435054","SD","0.0","1.2","10/27/2024"
"435056","SD","0.0","0.0","10/27/2024"
"435058","SD","0.0","0.0","10/27/2024"
"435059","SD","63.6","0.0","10/27/2024"
"435060","SD","84.0","14.8","10/27/2024"
"435061","SD","0.0","22.4","10/27/2024"
"435062","SD","58.3","23.5","10/27/2024"
"435064","SD","55.7","6.8","10/27/2024"
"435066","SD","0.8","0.6","10/27/2024"
"435068","SD","Not Available","Not Available","10/27/2024"
"435069","SD","78.9","0.0","10/27/2024"
"435070","SD","18.6","0.7","10/27/2024"
"435071","SD","71.7","2.5","10/27/2024"
"435072","SD","0.0","0.0","10/27/2024"
"435073","SD","73.6","6.2","10/27/2024"
"435074","SD","0.0","0.0","10/27/2024"
"435075","SD","69.6","6.5","10/27/2024"
"435076","SD","30.2","0.6","10/27/2024"
"435078","SD","0.0","0.0","10/27/2024"
"435079","SD","0.0","Not Available","10/27/2024"
"435080","SD","75.0","0.0","10/27/2024"
"435083","SD","86.1","0.0","10/27/2024"
"435084","SD","61.1","2.0","10/27/2024"
"435086","SD","47.4","4.5","10/27/2024"
"435087","SD","80.8","0.0","10/27/2024"
"435088","SD","0.0","0.0","10/27/2024"
"435089","SD","0.0","2.9","10/27/2024"
"435090","SD","0.0","0.0","10/27/2024"
"435092","SD","54.1","16.3","10/27/2024"
"435093","SD","0.0","0.0","10/27/2024"
"435094","SD","82.8","3.1","10/27/2024"
"435095","SD","0.0","3.8","10/27/2024"
"435096","SD","0.0","0.0","10/27/2024"
"435097","SD","61.0","13.1","10/27/2024"
"435098","SD","0.0","0.0","10/27/2024"
"435099","SD","81.5","12.6","10/27/2024"
"435100","SD","79.2","1.3","10/27/2024"
"435101","SD","6.1","1.0","10/27/2024"
"435102","SD","40.0","0.0","10/27/2024"
"435104","SD","47.2","1.1","10/27/2024"
"435105","SD","0.0","2.5","10/27/2024"
"435106","SD","0.0","0.0","10/27/2024"
"435107","SD","33.3","3.6","10/27/2024"
"435109","SD","8.5","9.9","10/27/2024"
"435110","SD","75.3","2.8","10/27/2024"
"435112","SD","48.8","5.7","10/27/2024"
"435113","SD","33.3","4.8","10/27/2024"
"435114","SD","Not Available","Not Available","10/27/2024"
"435115","SD","1.9","0.0","10/27/2024"
"435118","SD","0.0","1.3","10/27/2024"
"435119","SD","57.7","9.1","10/27/2024"
"435120","SD","78.9","0.0","10/27/2024"
"435122","SD","59.6","9.2","10/27/2024"
"435123","SD","67.4","20.6","10/27/2024"
"435124","SD","61.0","1.4","10/27/2024"
"435125","SD","Not Available","Not Available","10/27/2024"
"435127","SD","83.3","0.0","10/27/2024"
"435129","SD","55.8","8.3","10/27/2024"
"435130","SD","56.4","1.7","10/27/2024"
"435132","SD","83.0","11.6","10/27/2024"
"435133","SD","58.1","1.4","10/27/2024"
"435134","SD","62.7","0.0","10/27/2024"
"43A038","SD","35.3","0.0","10/27/2024"
"43A067","SD","39.1","0.0","10/27/2024"
